id,log_file,model_sha,log_date,is_current,section,op,M,K,N,rows,cols,tiles,lx,rows_per_core,cores,macs,kernel_us,kernel_us_min,kernel_us_median,kernel_us_std,kernel_us_cv,reps,pred_us,err_pct,bw_gbps,memset_us,other_dev_us,total_dev_us,io_hbm_bytes,layout_a,layout_b,h_tiles,q_tiles,k_tiles,loop_trips,wd,failed,split_forced,split_actual,compute_us,base_us,turn_us,eff_underfill,pt_eff,loop_us,T_model_us
bcast_smallr_20260724_015428.log:19,bcast_smallr_20260724_015428.log,c034bca,20260724_015428,False,bcast,bcast,,,,64,2048,0,0,,32,,9.664,9.59,9.664,0.052,0.54,7,4.478,-53.7,54.7,30.958,27.118,67.74,528384,,,,,,,,False,,,,3.52,1.5,,,,4.48
bcast_smallr_20260724_015428.log:36,bcast_smallr_20260724_015428.log,c034bca,20260724_015428,False,bcast,bcast,,,,64,4096,0,0,,32,,16.978,16.642,16.978,0.434,2.54,7,8.956,-47.3,62.2,35.845,162.731,215.554,1056768,,,,,,,,False,,,,7.05,3.01,,,,8.96
bcast_smallr_20260724_015428.log:53,bcast_smallr_20260724_015428.log,c034bca,20260724_015428,False,bcast,bcast,,,,64,8192,0,0,,32,,17.386,17.186,17.386,0.797,4.5,7,17.911,3.0,121.6,54.099,201.254,272.739,2113536,,,,,,,,False,,,,14.09,6.02,,,,17.91
bcast_smallr_20260724_015428.log:70,bcast_smallr_20260724_015428.log,c034bca,20260724_015428,False,bcast,bcast,,,,64,16384,0,0,,32,,32.805,32.282,32.805,0.747,2.26,7,35.823,9.2,128.9,84.259,376.13,493.194,4227072,,,,,,,,False,,,,28.18,12.04,,,,35.82
bcast_smallr_20260724_015428.log:87,bcast_smallr_20260724_015428.log,c034bca,20260724_015428,False,bcast,bcast,,,,128,2048,0,0,,32,,10.965,10.835,10.965,0.154,1.4,7,8.921,-18.6,96.0,39.403,157.623,207.991,1052672,,,,,,,,False,,,,7.02,3.01,,,,8.92
bcast_smallr_20260724_015428.log:104,bcast_smallr_20260724_015428.log,c034bca,20260724_015428,False,bcast,bcast,,,,128,4096,0,0,,32,,22.283,21.8,22.283,0.351,1.57,7,17.842,-19.9,94.5,53.974,277.37,353.627,2105344,,,,,,,,False,,,,14.04,6.02,,,,17.84
bcast_smallr_20260724_015428.log:121,bcast_smallr_20260724_015428.log,c034bca,20260724_015428,False,bcast,bcast,,,,128,8192,0,0,,32,,45.615,44.929,45.615,0.61,1.33,7,35.684,-21.8,92.3,86.329,416.724,548.668,4210688,,,,,,,,False,,,,28.07,12.04,,,,35.68
bcast_smallr_20260724_015428.log:138,bcast_smallr_20260724_015428.log,c034bca,20260724_015428,False,bcast,bcast,,,,128,16384,0,0,,32,,68.165,66.651,68.165,1.103,1.62,7,71.368,4.7,123.5,108.418,484.396,660.979,8421376,,,,,,,,False,,,,56.14,24.08,,,,71.37
bcast_smallr_20260724_015428.log:155,bcast_smallr_20260724_015428.log,c034bca,20260724_015428,False,bcast,bcast,,,,256,2048,0,0,,32,,17.087,16.587,17.087,0.664,3.84,7,17.807,4.2,123.0,53.033,189.8,259.92,2101248,,,,,,,,False,,,,14.01,6.02,,,,17.81
bcast_smallr_20260724_015428.log:172,bcast_smallr_20260724_015428.log,c034bca,20260724_015428,False,bcast,bcast,,,,256,4096,0,0,,32,,38.889,36.959,38.889,1.335,3.43,7,35.614,-8.4,108.1,85.217,407.782,531.888,4202496,,,,,,,,False,,,,28.02,12.04,,,,35.61
bcast_smallr_20260724_015428.log:189,bcast_smallr_20260724_015428.log,c034bca,20260724_015428,False,bcast,bcast,,,,256,8192,0,0,,32,,82.224,79.852,82.224,1.085,1.32,7,71.229,-13.4,102.2,118.517,392.756,593.497,8404992,,,,,,,,False,,,,56.03,24.08,,,,71.23
bcast_smallr_20260724_015428.log:206,bcast_smallr_20260724_015428.log,c034bca,20260724_015428,False,bcast,bcast,,,,256,16384,0,0,,32,,181.663,174.951,181.663,3.35,1.85,7,142.457,-21.6,92.5,165.602,587.996,935.261,16809984,,,,,,,,False,,,,112.07,48.15,,,,142.46
bcast_smallr_20260724_015428.log:223,bcast_smallr_20260724_015428.log,c034bca,20260724_015428,False,bcast,bcast,,,,512,2048,0,0,,32,,31.14,30.001,31.14,1.149,3.64,7,35.58,14.3,134.8,91.046,367.507,489.693,4198400,,,,,,,,False,,,,27.99,12.04,,,,35.58
bcast_smallr_20260724_015428.log:240,bcast_smallr_20260724_015428.log,c034bca,20260724_015428,False,bcast,bcast,,,,512,4096,0,0,,32,,70.661,69.522,70.661,0.764,1.09,7,71.159,0.7,118.8,108.579,427.007,606.247,8396800,,,,,,,,False,,,,55.98,24.08,,,,71.16
bcast_smallr_20260724_015428.log:257,bcast_smallr_20260724_015428.log,c034bca,20260724_015428,False,bcast,bcast,,,,512,8192,0,0,,32,,152.226,148.709,152.226,1.734,1.15,7,142.319,-6.5,110.3,164.405,590.166,906.797,16793600,,,,,,,,False,,,,111.96,48.15,,,,142.32
bcast_smallr_20260724_015428.log:274,bcast_smallr_20260724_015428.log,c034bca,20260724_015428,False,bcast,bcast,,,,512,16384,0,0,,32,,316.531,313.544,316.531,5.727,1.79,7,284.637,-10.1,106.1,259.704,962.954,1539.189,33587200,,,,,,,,False,,,,223.91,96.3,,,,284.64
bcast_smallr_20260724_015428.log:291,bcast_smallr_20260724_015428.log,c034bca,20260724_015428,False,bcast,bcast,,,,1024,2048,0,0,,32,,66.795,64.373,66.795,1.829,2.74,7,66.241,-0.8,125.6,113.363,415.987,596.145,8392704,,,,,,,,False,,,,55.95,24.08,,,,66.24
bcast_smallr_20260724_015428.log:308,bcast_smallr_20260724_015428.log,c034bca,20260724_015428,False,bcast,bcast,,,,1024,4096,0,0,,32,,139.317,135.165,139.317,2.115,1.53,7,135.475,-2.8,120.5,149.608,491.487,780.412,16785408,,,,,,,,False,,,,111.9,48.15,,,,135.48
bcast_smallr_20260724_015428.log:325,bcast_smallr_20260724_015428.log,c034bca,20260724_015428,False,bcast,bcast,,,,1024,8192,0,0,,32,,283.667,280.848,283.667,2.168,0.76,7,277.216,-2.3,118.3,253.752,945.612,1483.031,33570816,,,,,,,,False,,,,223.81,96.3,,,,277.22
bcast_smallr_20260724_015428.log:342,bcast_smallr_20260724_015428.log,c034bca,20260724_015428,False,bcast,bcast,,,,1024,16384,0,0,,32,,583.478,579.536,583.478,2.508,0.43,7,567.554,-2.7,115.1,423.99,2230.387,3237.855,67141632,,,,,,,,False,,,,447.61,192.6,,,,567.55
bcast_smallr_20260724_015428.log:360,bcast_smallr_20260724_015428.log,c034bca,20260724_015428,False,mulbcast,mulbcast,,,,64,2048,0,0,,32,,9.669,9.585,9.669,0.065,0.68,7,4.478,-53.7,54.6,29.229,120.786,159.684,528384,,,,,,,,False,,,,3.52,1.5,,,,4.48
bcast_smallr_20260724_015428.log:377,bcast_smallr_20260724_015428.log,c034bca,20260724_015428,False,mulbcast,mulbcast,,,,64,4096,0,0,,32,,16.735,16.543,16.735,0.167,1.0,7,8.956,-46.5,63.1,39.509,46.803,103.047,1056768,,,,,,,,False,,,,7.05,3.01,,,,8.96
bcast_smallr_20260724_015428.log:394,bcast_smallr_20260724_015428.log,c034bca,20260724_015428,False,mulbcast,mulbcast,,,,64,8192,0,0,,32,,17.252,17.097,17.252,0.115,0.66,7,17.911,3.8,122.5,55.256,166.679,239.187,2113536,,,,,,,,False,,,,14.09,6.02,,,,17.91
bcast_smallr_20260724_015428.log:411,bcast_smallr_20260724_015428.log,c034bca,20260724_015428,False,mulbcast,mulbcast,,,,64,16384,0,0,,32,,32.994,32.411,32.994,0.287,0.87,7,35.823,8.6,128.1,87.032,418.108,538.134,4227072,,,,,,,,False,,,,28.18,12.04,,,,35.82
bcast_smallr_20260724_015428.log:428,bcast_smallr_20260724_015428.log,c034bca,20260724_015428,False,mulbcast,mulbcast,,,,128,2048,0,0,,32,,11.066,10.953,11.066,0.099,0.89,7,8.921,-19.4,95.1,37.709,171.002,219.777,1052672,,,,,,,,False,,,,7.02,3.01,,,,8.92
bcast_smallr_20260724_015428.log:445,bcast_smallr_20260724_015428.log,c034bca,20260724_015428,False,mulbcast,mulbcast,,,,128,4096,0,0,,32,,22.403,21.75,22.403,0.336,1.5,7,17.842,-20.4,94.0,53.732,177.017,253.152,2105344,,,,,,,,False,,,,14.04,6.02,,,,17.84
bcast_smallr_20260724_015428.log:462,bcast_smallr_20260724_015428.log,c034bca,20260724_015428,False,mulbcast,mulbcast,,,,128,8192,0,0,,32,,45.185,43.361,45.185,1.215,2.68,7,35.684,-21.0,93.2,92.03,321.714,458.929,4210688,,,,,,,,False,,,,28.07,12.04,,,,35.68
bcast_smallr_20260724_015428.log:479,bcast_smallr_20260724_015428.log,c034bca,20260724_015428,False,mulbcast,mulbcast,,,,128,16384,0,0,,32,,66.973,66.49,66.973,0.333,0.5,7,71.368,6.6,125.7,103.947,461.088,632.008,8421376,,,,,,,,False,,,,56.14,24.08,,,,71.37
bcast_smallr_20260724_015428.log:496,bcast_smallr_20260724_015428.log,c034bca,20260724_015428,False,mulbcast,mulbcast,,,,256,2048,0,0,,32,,17.136,16.933,17.136,0.216,1.25,7,17.807,3.9,122.6,54.181,267.309,338.626,2101248,,,,,,,,False,,,,14.01,6.02,,,,17.81
bcast_smallr_20260724_015428.log:513,bcast_smallr_20260724_015428.log,c034bca,20260724_015428,False,mulbcast,mulbcast,,,,256,4096,0,0,,32,,39.501,35.724,39.501,1.526,3.91,7,35.614,-9.8,106.4,94.089,371.166,504.756,4202496,,,,,,,,False,,,,28.02,12.04,,,,35.61
